num_steps,nelements,max_delta_volume,average_voltage,capacity_grav,fracA_discharge,stability_charge,minimum CN_VoronoiNN,maximum CN_VoronoiNN,range CN_VoronoiNN,mean CN_VoronoiNN,avg_dev CN_VoronoiNN,mean absolute deviation in relative bond length,max relative bond length,min relative bond length,minimum neighbor distance variation,maximum neighbor distance variation,range neighbor distance variation,avg_dev neighbor distance variation,mean ordering parameter shell 1,mean ordering parameter shell 2,mean ordering parameter shell 3,max packing efficiency,minimum local difference in Number,maximum local difference in Number,mean local difference in Number,avg_dev local difference in Number,minimum local difference in MendeleevNumber,maximum local difference in MendeleevNumber,mean local difference in MendeleevNumber,avg_dev local difference in MendeleevNumber,minimum local difference in MeltingT,maximum local difference in MeltingT,mean local difference in MeltingT,avg_dev local difference in MeltingT,range local difference in Column,avg_dev local difference in Column,range local difference in Row,mean local difference in Row,avg_dev local difference in Row,minimum local difference in CovalentRadius,maximum local difference in CovalentRadius,range local difference in CovalentRadius,avg_dev local difference in CovalentRadius,minimum local difference in Electronegativity,maximum local difference in Electronegativity,range local difference in Electronegativity,avg_dev local difference in Electronegativity,maximum local difference in NpValence,avg_dev local difference in NpValence,maximum local difference in NdValence,mean local difference in NdValence,avg_dev local difference in NdValence,maximum local difference in NValence,mean local difference in NValence,avg_dev local difference in NValence,maximum local difference in NpUnfilled,range local difference in NpUnfilled,avg_dev local difference in NpUnfilled,maximum local difference in NdUnfilled,mean local difference in NdUnfilled,avg_dev local difference in NdUnfilled,mean local difference in NUnfilled,minimum local difference in GSvolume_pa,maximum local difference in GSvolume_pa,mean local difference in GSvolume_pa,minimum local difference in SpaceGroupNumber,maximum local difference in SpaceGroupNumber,avg_dev local difference in SpaceGroupNumber,0-norm,2-norm,frac s valence electrons,frac p valence electrons
2,3,0.0086744449077491,3.645088278333337,137.17175404976336,0.25,0.0370080831249968,5.999754714096005,10.195543849920616,4.195789135824612,8.009344631810311,1.4647692770027,0.0758007304913913,1.1095520054681116,0.8487570501627512,0.0028399220476518,0.2093822463517868,0.2065423243041349,0.0756924496996816,0.7110963027227785,0.3725177977362795,0.2083402705485328,0.373064560545795,4.802875380070595,20.067695746772102,11.617523674890467,4.659690319394161,24.163401463070937,81.31899328017816,37.05527898130919,13.010690348363257,380.6521320444558,1713.2,980.3917052340556,400.602649145391,9.340713101582768,1.984214976593201,1.99302452293494,1.0389432735643498,0.5491752722489432,32.52838335189021,60.0,27.471616648109787,9.73289986785474,0.9873436077516436,2.323359099879867,1.3360154921282232,0.289603943523216,4.0,0.6551833543974369,8.0,4.029647491607476,2.125915719081441,4.77958966397586,3.305977486375674,0.7263858187098035,2.0,0.9088953825971662,0.3275916771987184,3.0000000000000004,1.1650688762142718,0.6199606421632735,0.3969689110293014,1.1399999999999988,7.084399363692769,2.644167817427135,113.03585753570428,212.94033432693425,33.97452189713892,4,0.6308400618805605,0.2921348314606742,0.3595505617977528
1,3,0.0036739620206418,3.5559580133333286,69.82543601455284,0.25,0.0895037955672526,5.999350876961252,8.56576969414655,2.5664188171852977,7.411034266331538,0.8802046771309411,0.0523357949720549,1.0603038714089918,0.8691641743470357,0.0012130047900753,0.1642132489971601,0.1630002442070847,0.0575161886467035,0.8284470587241203,0.531185665359523,0.3385186514685427,0.4170097180805495,4.810612030307379,20.15738404891104,11.439158477439811,4.074421945735704,26.0,79.20367881928306,46.30979894716144,15.031127914399148,376.78079964843806,2125.197574353502,1042.4473188008292,395.4786045749188,7.790106518113001,2.370511321825412,1.980552996795526,1.0075821462388763,0.5292895220059328,44.28515169386295,72.99962297855845,28.7144712846955,6.530681530490657,1.4130509527703767,2.2562695298923408,0.843218577121964,0.2831115689512913,4.0,0.4103106709588851,8.000000000000002,3.652374301669025,1.9187337057765208,4.814793510979837,3.3785013075288024,0.8646361689246288,2.0,0.5441824270232383,0.2051553354794425,5.0,1.3855364295253572,0.7404121532214334,0.8773942562685798,1.215,6.9365042511106685,3.4987484893699885,156.87078738957678,216.99868042495453,22.156506095959426,4,0.6073622386096199,0.2988505747126437,0.367816091954023
1,4,0.0789119919459517,3.637513603333336,148.88730580079155,0.1428571428571428,0.0675631361458215,4.363746564949602,11.90411642626863,7.540369861319028,8.852230319638759,2.4200665981762093,0.134739192247999,1.1436242447863365,0.6982831175002915,0.031754883452269,0.2406653692949314,0.2089104858426624,0.0615376660180143,0.6464111930067754,0.3243829596409055,0.153670582603968,0.1893369692537348,4.223437604746615,42.99999999999999,10.05837407380285,5.474001286333729,0.998311048097462,22.999544606696507,6.592596111370129,4.199023599211964,162.82845510642338,1302.9401148144582,438.8157419815754,249.9736434995253,4.681388184745542,0.8797509633792698,2.531763291335817,0.9710762013737224,0.4350148149319963,16.819967401385288,73.0,56.18003259861472,14.60628804345108,0.4066769400143045,1.5398576895926563,1.133180749578352,0.3713911476628957,3.999886151674125,0.6793768675835467,10.000000000000002,3.05363465481996,2.3154551150600136,8.999999999999998,2.113840805663441,1.2963207822643743,2.010018851419417,1.6915208844908332,0.3708832865791365,0.0,0.0,0.0,0.5928412355187055,1.9660855708939573,22.455,6.0014593897053885,10.0,213.1001885141941,44.92637829091017,4,0.699702317656111,0.274390243902439,0.4817073170731707
1,3,0.0246928717956693,2.901633593333334,184.256617508828,0.1818181818181818,0.078000973000007,5.979264100598787,9.3648655095165,3.3856014089177133,7.566881937517261,0.9523643074235106,0.0506047390106692,1.1045577379568434,0.874112752941716,0.1494017337993261,0.317819174500636,0.1684174407013099,0.042365880828228,0.5698903188136692,0.2687550940643951,0.1223792655516002,0.1298346743210655,3.4408804019014294,23.006962288610605,8.143052255971076,3.1115275200142443,3.344697608491592,83.80117151508198,24.75452491761258,12.802018617631768,43.59251648161721,1310.8930495550433,356.0808270255858,199.70345958403053,6.612979863118306,1.943489054652204,2.0547010765692346,0.8835783563149378,0.2889682569092399,17.27554223431451,75.26815853720628,57.99261630289176,11.465880042596387,0.5380484905747441,2.0987150108888093,1.560666520314065,0.3827081424199739,3.884750734547752,0.668628196444167,10.000000000000002,1.952088661379848,1.6109067353342243,6.446133209530506,4.0333891496853855,0.8038691595452636,1.942375367273876,1.0992462380085974,0.3343140982220835,0.0,0.0,0.0,0.6947893017017506,1.208720932595136,7.730853075066287,3.161493572737176,77.54233075046426,188.09974073252928,37.717391773253695,4,0.5830951894845301,0.35,0.4
1,5,0.0712894931429457,3.75769109333334,113.64516088216786,0.1,0.0452749487152752,4.070082638749251,10.7315943500873,6.66151171133805,8.518036013106055,2.305355901315284,0.1343579462996948,1.1422180564595856,0.694592696537893,0.0210192875192703,0.2298957800575216,0.2088764925382513,0.0774940860353479,0.7753386502921056,0.3058487073705303,0.1828975018217408,0.1907841534212387,3.351546153692481,20.989869402738712,7.529901894052652,3.7110556813052287,4.0,35.0,9.91720397026396,6.69288400485998,227.164044596244,1673.0525915729552,521.427006475556,328.4488820316744,8.083608395014997,1.6359213474195866,1.5744271766733804,0.8762128070346106,0.4157297163491018,16.32120076361606,72.99999999999999,56.67879923638392,15.055838759706546,0.4566201223405637,1.89,1.4333798776594362,0.4136190529780769,4.0,0.8446848666630555,9.995947761095485,2.032911040616251,1.6347760803152067,4.997973880547742,1.0947008134264415,0.5742451509783535,2.0,1.5744271766733804,0.4157297163491018,4.999999999999999,0.9120410864492756,0.8022013510474624,0.752837510009964,1.214807934659313,13.465238095200002,4.284699045509563,10.0,212.97936161211297,48.15906353389104,5,0.6949997779553779,0.3141592920353983,0.504424778761062
1,3,0.0039493543930293,3.779084815833333,72.35022143981372,0.25,0.0667951824629708,6.019580368109637,8.512894290476652,2.4933139223670144,7.286617828891273,0.856342916509708,0.052293149805711,1.0605937496646085,0.8868855485967884,0.0083104441097165,0.16207213152908,0.1537616874193634,0.0600284518258933,0.8353462895543513,0.5463896511751953,0.3575065121374526,0.4339431956813748,4.776601899481922,20.13566745933128,10.435758579160632,3.542232977330765,26.05977768305798,80.04245264684079,49.579727723992654,13.973608176111265,381.3623200032412,2122.389716431374,1159.223937981653,454.1280010413458,7.931337654805572,1.8331828429230048,1.9860188228934128,1.007123156387478,0.5295343165933452,48.06832484278537,72.56319390996309,24.49486906717772,7.104582874252647,1.4775103059884702,2.284596323980157,0.8070860179916863,0.2500865475204891,3.992967331404944,0.4122459083943178,8.000000000000002,2.893603504030185,1.5234114645172343,4.694287466440807,2.378773328060805,1.2601935816597951,1.996483665702472,0.5308669429357973,0.2061229541971589,5.000000000000001,2.1420122779072046,1.158663025668218,1.8887279974887323,1.2238933954941065,6.978399937104481,3.734753219549504,158.46777873957035,215.4711786848708,22.31636409299428,4,0.6073622386096199,0.3037974683544304,0.4050632911392405
1,3,0.0513706767236483,2.4252320383333315,151.57712954409598,0.1428571428571428,0.0445119979166666,5.640505236940191,12.183813430261774,6.543308193321582,9.556268628357271,2.559068215887923,0.1141158269643744,1.1709313461712172,0.8073656728148089,0.0282366672176101,0.2028973565809174,0.1746606893633073,0.0525597856380206,0.5936784802793087,0.1512097613063058,0.1087398754881184,0.2703133294597766,3.992242633134187,19.0,9.424568429407396,4.433691099850818,10.06147569158723,41.0,22.20450140132728,10.530332399115144,554.6967294381152,2128.2,1184.810660766547,559.7595594889686,8.422343384890024,2.7758101627965104,1.467700982248775,1.1739117834778945,0.5507254776814036,21.110238344464907,87.0,65.8897616555351,22.24759351909539,0.4817306110648585,1.81,1.3282693889351416,0.4825828095234695,4.0,1.1014509553628071,7.0,2.3810977285400265,1.1837498175808985,3.0000000000000004,0.8970709184005402,0.4564606886958693,2.0,1.467700982248775,0.5507254776814036,7.0,3.488461188849446,1.755769405575277,2.3145494053715505,0.7052350103392474,3.905,1.8633287328809367,57.7003804991584,217.0,57.538389639484215,3,0.7168604389202189,0.3333333333333333,0.4444444444444444
1,3,0.0016741297495987,1.8007801433333317,140.71825952349494,0.2,0.1700075237500113,6.6031954240329,8.517632655573124,1.914437231540224,7.433945087812098,0.749001509184988,0.0675054492429815,1.0835893008563433,0.9302696886285996,0.1370529739930944,0.2662233177024633,0.1291703437093688,0.0614701762299244,0.5816695712892046,0.1595022619586299,0.0850873178604234,0.3150676175995499,6.886062980123833,10.544605617806951,8.481353519184266,1.0316260493113434,17.3550989222022,26.548544495068136,21.08192336202733,2.7333105665204025,712.4642322025063,1157.614440518207,891.8268432003052,132.89379865895086,2.8409712290790066,0.8514971062463147,0.1157041933738618,0.7100042904311532,0.0475519340553796,17.540991572848633,20.665004793942902,3.1240132210942733,1.2839022194952516,0.4681016927743609,0.5763613505903843,0.1082596578160233,0.0411065623778984,3.061482191695245,0.1902077362215186,8.446756805634653,6.101773229083896,1.2423795591050062,4.421641234416461,2.801319195735039,0.9060342627498762,1.5307410958476224,0.2314083867477236,0.0951038681107593,3.8021061643937872,1.7963646185242903,1.1444215496896084,1.3586191808863894,9.737813156240176,11.35703686397772,10.601735384313542,102.77775112727616,120.01210082702826,7.871763905454738,3,0.6123724356957945,0.2258064516129032,0.2580645161290322
1,3,0.0421856046169388,3.371941503333329,137.08763113805108,0.25,0.0,5.621134946415912,7.99878229014393,2.377647343728017,7.048053987618767,1.0065972219212254,0.0610496223352968,1.0522151130521702,0.8887872772156793,0.0001711161105682,0.1878234124361734,0.1876522963256052,0.0753185907712322,0.6966048653535698,0.4801819045862684,0.2480193789494469,0.3856687541227038,4.614584151919974,20.000000000000004,11.603274669494198,4.5124144745747445,26.0,79.37084741302357,38.59229309511898,11.651015519401312,368.1422944718717,1713.2,997.7821313922824,397.38163920440974,7.843752455759925,1.7774317299269515,2.0,1.045883622625733,0.5452093584995811,40.41338448667884,60.0,19.586615513321163,8.656196008553518,1.2790030724821242,2.270375402744628,0.9913723302625036,0.2454603869882786,4.0,0.5824709142732647,8.0,3.920590689645984,2.045376748773723,4.614584151919975,3.236205688488332,0.6120493642695176,2.0,0.6522132186012644,0.2912354571366323,3.0000000000000004,1.308827423482682,0.6806700437241817,0.5444202496757117,1.139999999999999,6.9111088648280505,2.7234429899093144,137.2075128387441,213.0,29.235925732310527,4,0.6226998490772391,0.2954545454545454,0.3636363636363636
1,3,0.0942157795614739,2.528926413333335,43.51151147936466,0.125,0.0448069684126988,5.395672833158301,6.7257938717871495,1.330121038628849,6.395131500301964,0.3778928155041213,0.0385895468934423,1.0337661453574856,0.8901189386750076,0.1527661048668619,0.1999929471748898,0.0472268423080279,0.0177342370036778,0.4534441249988336,0.1629632101380854,0.0304705405699677,0.2970928764086248,7.09785973913412,13.625397626657604,8.973059134812337,2.656255222724416,10.587584731938955,22.968171654548225,12.818117566776886,2.9000154536489537,113.57137087365474,873.0946407996628,268.570564868138,172.72116455186423,2.3654463014856004,0.5472692270516231,0.7408499127462485,0.5071352848397871,0.2164704537031005,11.319715906835937,18.70459609929085,7.384880192454913,2.978065700396735,0.4410164795759054,0.6395771741465269,0.1985606945706215,0.0862129048670147,3.5646082116889053,0.4247937648838103,0.0,0.0,0.0,4.564608211688905,2.649165917008223,0.5472692270516231,2.792349104291604,1.1778796658706596,0.5181118676677567,0.0,0.0,0.0,1.7946118269624678,2.226879548862076,14.609083210467864,4.767110641098747,92.15147290005534,192.8586754870377,23.356632291003823,3,0.6546536707079771,0.1287128712871287,0.1782178217821782
